Familia,Nombre científico,Nombre en inglés,"Nombre en español / (Común en
Costa Rica)",Total,Comentarios,sum_ind
Vireonidae,NA,NA,NA,NA,NA,NA
NA,Cyclarhis gujanensis,Rufous-browed Peppershrike,Vireón Cejirrufo,NA,NA,1
NA,Pachysylvia decurtatus,Lesser Greenlet,Verdillo Menudo,NA,NA,7
NA,Vireo pallens,Mangrove Vireo,Vireo de Manglar,NA,NA,NA
NA,Vireo flavifrons,Yellow-throated Vireo,Vireo Pechiamarillo,NA,NA,5
NA,Vireo philadelphicus,Philadelphia Vireo,Vireo Amarillento,NA,NA,3
NA,Vireo olivaceus,Red-eyed Vireo,Vireo Ojirrojo (Chiguisa),NA,NA,NA
NA,Vireo flavoviridis,Yellow-green Vireo,"Vireo Cabecigrís (Chiguisa, Chuesa, Cazadora, Fraile)",NA,NA,NA
Corvidae,NA,NA,NA,NA,NA,NA
NA,Calocitta formosa,White-throated Magpie-Jay,"Urraca Copetona (Urraca, Piapia Azul)",NA,NA,2
Hirundinidae,NA,NA,NA,NA,NA,NA
NA,Riparia riparia,Bank Swallow,Golondrina Ribereña,NA,NA,NA
NA,Tachycineta albilinea,Mangrove Swallow,Golondrina Lomiblanca,NA,NA,NA
NA,Stelgidopteryx serripennis,Northern Rough-winged Swallow,Golondrina Alirrasposa Norteña,NA,NA,NA
NA,Stelgidopteryx ruficollis,Southern Rough-winged Swallow,Golondrina Alirrasposa Sureña,NA,NA,NA
NA,Progne chalybea,Gray-breasted Martin,Martín Pechigrís,NA,NA,NA
NA,Hirundo rustica,Barn Swallow,Golondrina Tijereta,NA,NA,NA
Polioptilidae,NA,NA,NA,NA,NA,NA
NA,Ramphocaenus melanurus,Long-billed Gnatwren,Soterillo Picudo,NA,NA,NA
NA,Polioptila bilineata,White-browed Gnatcatcher,"Perlita Frentiblanca (Espatulilla, Cazadora)",NA,NA,3
NA,Polioptila albiloris,White-lored Gnatcatcher,"Perlita Cabecinegra (Espatulilla, Cazadora)",NA,NA,NA
Troglodytidae,NA,NA,NA,NA,NA,NA
NA,Cantorchilus modestus,Cabanis's Wren,Soterrey Chinchirigüí (Huevos Blancos),NA,NA,NA
NA,Thryophilus rufalbus,Rufous-and-white Wren,Soterrey Rufo y Blanco,NA,NA,NA
NA,Thryophilus pleurostictus,Banded Wren,Soterrey de Costillas Barreteadas,NA,NA,4
NA,Campylorhynchus rufinucha,Rufous-naped Wren,"Soterrey Nuquirrufo (Chico Piojo, Botijón, Salta Piñuela)",NA,NA,11
